DriverId,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
16,"7,-2,-2,2,4,2,1,5,2,-1,1,-1,2,-1,0,1,-12,-16,2,3,3,-1,5,0,4,1,-2,0,0,2,-1,1,2,0,-1,-2,0,0,2,0,0,2,1,3,7,0,0,1,0,2,1,-1,0,5,0,1,-2,1,-12,-3,-1,5,0,1,1,0,4,-5,0,4,-1,1,3,1,-1,-11,-5,5,-1,0,0,1,0,-2,1,6,2,2,1,1,-5,3,2,-8,5,1,1,0,1,-5,7,0,-1,1,2,1,4,2,6,0,-3,3,1,3,-3,0,-1,-4,-1,2,2,-5,",-16,7,-1,1,2,0,3.4641016151377544
17,"0,1,-1,-2,0,10,-11,-1,0,-4,-5,2,-1,0,0,-7,6,1,-2,-1,-6,1,2,1,0,-1,1,4,4,-1,0,1,-1,3,-1,-2,-3,-5,0,0,-2,-1,-4,-1,2,5,-2,1,0,-1,-2,-2,0,-2,1,0,2,0,0,-1,0,0,-1,-3,4,0,-5,0,1,2,0,0,1,-1,2,2,-1,2,0,4,-16,2,0,0,-1,2,0,1,-1,0,-10,-1,3,-14,5,5,2,-1,1,0,2,-12,2,-1,1,1,1,-1,-2,4,3,2,0,-7,0,2,0,0,-1,0,3,-5,-5,4,-3,0,1,5,-4,1,1,1,-8,-5,-2,-3,-1,0,0,0,-2,0,0,-4,0,4,-1,2,1,1,0,0,1,-3,0,2,1,-10,-1,-2,0,2,0,1,0,-1,-1,0,1,0,0,0,7,1,-1,4,-1,-1,1,1,-1,0,-6,0,1,2,-3,-3,0,0,-1,0,-20,-1,-1,1,0,0,0,-3,-2,0,1,-1,1,-1,0,-3,1,-2,",-20,10,-1,0,1,-1,3.3166247903553998
18,"1,0,-3,0,2,2,6,0,-2,-2,1,1,-1,4,0,0,-1,0,2,0,4,2,5,6,-2,2,0,0,2,1,0,3,-11,-3,1,-1,0,0,-2,2,0,4,0,3,1,0,0,1,2,1,-1,0,-5,2,-3,-5,-3,4,1,1,1,1,1,0,1,-9,-1,-2,-1,-9,2,-5,0,-3,0,-2,1,1,0,1,0,0,0,-2,0,1,3,2,-1,0,0,0,-1,-1,0,1,-4,3,1,-1,0,1,1,0,-1,5,1,5,-1,0,5,5,5,1,-3,6,1,3,0,1,0,1,-1,-2,1,5,3,5,-3,-1,1,5,3,-2,-2,3,2,-1,-3,3,1,0,-1,-4,0,1,5,2,2,0,3,-3,1,-1,-4,0,0,1,1,1,10,0,0,1,0,2,0,4,-11,1,1,0,0,1,-2,3,-10,6,1,1,-3,-1,-2,0,5,-8,-2,1,0,1,1,0,4,-1,-2,7,0,3,-1,0,-1,-2,0,0,1,2,0,-2,-1,3,3,2,4,-2,2,0,3,3,-4,5,2,0,0,3,0,3,1,-4,-7,-2,0,2,-1,0,8,2,5,-1,1,1,2,-2,-2,-3,0,0,0,0,-1,1,2,1,1,-1,2,1,1,0,-2,-1,0,-1,5,0,0,2,0,-1,4,5,11,1,1,0,-1,-3,2,-1,0,3,-1,0,-3,1,2,1,-3,-3,0,1,2,8,-2,3,1,1,3,-3,4,",-11,11,-1,0,2,0,2.8284271247461903
19,"-10,1,3,-1,2,1,2,-3,-3,-2,0,0,1,2,0,-1,0,-2,2,0,3,-3,0,",-10,3,-2,0,1,-1,2.6457513110645907
20,"1,0,0,1,0,-3,0,2,0,2,2,2,0,1,0,-2,0,7,-2,0,0,0,0,0,1,-2,0,0,0,1,1,1,2,1,0,1,-1,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,2,-2,0,0,-23,1,-1,1,-3,-2,0,-1,1,-2,0,3,1,-4,2,-5,0,0,-1,0,-1,2,0,0,0,-1,0,0,0,-2,-2,-1,1,-1,-2,1,0,2,-15,0,0,-6,1,-1,-1,0,0,3,1,1,0,1,-1,0,0,1,0,2,0,2,-3,0,-1,5,0,-2,-2,-3,0,1,0,-4,0,2,1,4,1,0,-18,0,-2,0,0,1,-4,-2,-1,1,0,0,0,0,-1,0,2,2,-1,0,0,-23,4,1,1,3,0,0,-16,-1,-7,0,1,1,0,0,0,0,0,0,2,6,0,1,0,0,1,0,1,-1,-1,0,2,",-23,7,0,0,1,-1,3.4641016151377544
21,"0,-17,0,0,-5,5,-2,1,2,4,3,4,-1,4,0,0,-4,1,3,0,-9,2,4,0,2,2,0,4,4,-2,0,0,1,6,0,4,-3,-1,0,-1,3,4,-3,-13,0,1,2,0,1,1,-1,1,0,1,-1,1,0,2,-2,0,2,-1,3,-1,-1,-2,0,3,1,3,0,1,0,0,0,-1,-1,0,-2,-1,-1,-1,-1,4,2,0,1,3,-1,1,2,1,3,-1,0,0,2,1,1,-4,1,3,-2,2,1,0,0,-1,2,2,0,-1,2,1,1,0,1,-2,0,-1,4,3,0,0,1,-2,1,6,0,2,-1,0,0,1,1,0,0,2,-3,-4,-6,4,2,2,-1,3,0,1,4,0,1,0,0,0,1,2,3,-3,0,-2,-8,0,-7,2,-1,0,-1,-2,4,2,-1,-1,0,-1,2,-4,5,1,-8,5,-3,-3,2,0,1,-1,0,4,-1,1,4,2,-3,4,-1,4,3,-2,0,-1,1,-2,-1,-3,1,-8,-2,1,-1,2,-1,3,7,4,-2,2,4,0,4,1,",-17,7,-1,0,2,0,2.8284271247461903
22,"3,2,2,3,0,0,-3,-1,-15,0,1,-5,-1,-3,-2,2,5,0,1,-1,2,0,0,1,3,-15,0,-1,-1,1,7,0,0,1,-1,2,-1,2,0,0,1,-2,-3,2,1,0,2,5,-1,-1,6,-1,1,-9,-5,0,1,2,0,-1,-1,-1,-2,1,-2,0,1,5,1,3,0,1,0,-5,1,0,0,2,1,-1,-14,7,-5,-1,-3,0,2,3,1,1,1,0,3,1,0,1,-2,1,6,-2,-2,1,0,-2,-12,2,0,0,-6,5,0,0,2,-4,1,-3,2,-13,0,1,8,1,1,4,0,-3,4,-3,1,-6,0,2,0,1,0,1,-2,-1,3,-4,3,4,2,0,2,1,1,0,-2,-8,1,2,0,-2,1,-6,-10,-1,1,1,-2,1,0,0,1,0,0,-1,-4,-2,1,-1,-7,1,2,-2,-1,3,1,3,1,-2,1,0,0,-1,0,4,0,0,1,-1,0,2,-1,0,1,3,-1,-2,0,-1,-7,-1,5,0,-3,0,2,0,-6,-3,-2,2,1,3,-3,0,4,1,5,2,1,3,-2,0,-2,0,-1,-2,1,1,1,3,-2,-10,2,-1,0,1,-2,0,3,0,3,0,0,-3,1,0,0,-5,3,1,3,-1,0,5,2,-15,0,2,0,0,3,-7,",-15,8,-1,0,1,-1,3.3166247903553998
23,"1,1,3,2,-4,1,-2,3,-5,3,-4,9,0,-1,8,2,-17,-6,0,-4,1,0,-1,-4,-3,1,-3,3,1,1,2,2,-6,-11,1,-1,-9,-2,-2,1,-1,0,0,1,3,0,-1,3,-1,-3,-2,0,0,-1,0,-1,4,0,0,0,-1,0,1,0,-2,2,0,-2,-2,-1,0,1,5,0,3,7,-1,-11,2,-1,0,0,3,4,1,-3,0,-6,0,-16,0,0,0,0,-3,0,1,-3,-2,-10,0,0,1,-15,0,-4,0,2,0,3,1,-1,-3,1,-16,1,1,-2,-4,-1,1,0,0,1,-3,-1,0,0,1,-1,2,1,-2,2,-7,-5,-11,1,0,0,-1,0,-2,0,-2,0,1,1,2,-4,2,0,1,0,0,0,5,1,-1,2,2,0,-1,1,-2,1,1,1,1,2,-8,-2,1,",-17,9,-2,0,1,-1,3.7416573867739413
24,"0,3,1,-1,-4,2,0,1,3,3,1,0,-2,2,2,3,11,2,1,-1,-1,-1,1,0,0,2,-18,0,3,1,1,1,2,5,-1,-1,4,2,-3,1,1,-1,1,4,0,1,1,5,1,1,1,-8,4,3,2,-7,2,7,0,-1,7,8,5,7,4,0,1,0,3,0,1,5,0,-1,",-18,11,0,1,3,1,3.6055512754639891
25,"0,-2,-5,1,1,0,0,0,-4,4,2,-1,3,1,-6,-1,1,4,0,-5,2,3,-3,3,2,-3,0,2,3,2,-1,-5,5,-10,-2,1,-1,1,-1,0,3,1,6,3,-1,-3,2,-7,2,-1,4,-1,8,3,2,0,-5,-1,-16,-3,3,1,3,0,6,0,",-16,8,-1,0,2,0,3.7416573867739413
